extroversion_video1,extroversion_video2,extroversion_value1,extroversion_value2,neuroticism_video1,neuroticism_video2,neuroticism_value1,neuroticism_value2,agreeableness_video1,agreeableness_video2,agreeableness_value1,agreeableness_value2,conscientiousness_video1,conscientiousness_video2,conscientiousness_value1,conscientiousness_value2,openness_video1,openness_video2,openness_value1,openness_value2
https://www.cs.umb.edu/~srikark/selected_videos/3fb0a97a52_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_20.mp4,0.75,0,https://www.cs.umb.edu/~srikark/selected_videos/82ab936b7a_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_56.mp4,1,0,https://www.cs.umb.edu/~srikark/selected_videos/2d3a17b517_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/3aabfe0590_21.mp4,1,0.25,https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_80.mp4,1,0.25,https://www.cs.umb.edu/~srikark/selected_videos/ef2f7d7dbf_62.mp4,https://www.cs.umb.edu/~srikark/selected_videos/a6a618dc02_1.mp4,0.75,0.25
https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_11.mp4,https://www.cs.umb.edu/~srikark/selected_videos/399374e32d_9.mp4,0,0.75,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_34.mp4,https://www.cs.umb.edu/~srikark/selected_videos/6e8b99814c_12.mp4,0.25,0.75,https://www.cs.umb.edu/~srikark/selected_videos/dabac09516_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_7.mp4,0.75,0.25,https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_9.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_6.mp4,1,0.5,https://www.cs.umb.edu/~srikark/selected_videos/113ecbc550_5.mp4,https://www.cs.umb.edu/~srikark/selected_videos/82ab936b7a_3.mp4,0.5,1
https://www.cs.umb.edu/~srikark/selected_videos/5f94648651_15.mp4,https://www.cs.umb.edu/~srikark/selected_videos/5dbe49fbc2_24.mp4,0.75,0.25,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_139.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7a393124cb_13.mp4,0.25,0.75,https://www.cs.umb.edu/~srikark/selected_videos/400f09a2d4_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/852d9942d3_2.mp4,0.75,0.25,https://www.cs.umb.edu/~srikark/selected_videos/720fccf6b1_61.mp4,https://www.cs.umb.edu/~srikark/selected_videos/8ef33e0102_23.mp4,0.25,0.75,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_95.mp4,https://www.cs.umb.edu/~srikark/selected_videos/40bb63a7fd_12.mp4,1,0.25
https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_50.mp4,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_84.mp4,0,0.5,https://www.cs.umb.edu/~srikark/selected_videos/82ab936b7a_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/252dd328ef_4.mp4,1,0.5,https://www.cs.umb.edu/~srikark/selected_videos/82ab936b7a_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/323d340cd3_2.mp4,1,0.25,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_24.mp4,https://www.cs.umb.edu/~srikark/selected_videos/540c0cba0a_149.mp4,0.5,0.75,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_35.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b0390cf0b5_2.mp4,0.25,0.75
https://www.cs.umb.edu/~srikark/selected_videos/81729924f7_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_46.mp4,0.5,0,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_56.mp4,https://www.cs.umb.edu/~srikark/selected_videos/82ab936b7a_3.mp4,0,1,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/068371806d_44.mp4,0.25,1,https://www.cs.umb.edu/~srikark/selected_videos/1a7096b272_7.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2cb5b3df8d_64.mp4,1,0.5,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_95.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_37.mp4,1,0.25
https://www.cs.umb.edu/~srikark/selected_videos/2d3a17b517_23.mp4,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_82.mp4,0,0.75,https://www.cs.umb.edu/~srikark/selected_videos/446caa6f5f_46.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c8c00639ec_18.mp4,0.75,0.25,https://www.cs.umb.edu/~srikark/selected_videos/0014697d89_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_54.mp4,0.25,1,https://www.cs.umb.edu/~srikark/selected_videos/70b048c138_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/068371806d_44.mp4,0.25,1,https://www.cs.umb.edu/~srikark/selected_videos/86410175f1_24.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0601b6267e_9.mp4,1,0.5
https://www.cs.umb.edu/~srikark/selected_videos/4f2dda223f_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/049dbc8289_43.mp4,0.75,0.25,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_56.mp4,https://www.cs.umb.edu/~srikark/selected_videos/2cb5b3df8d_4.mp4,0,0.5,https://www.cs.umb.edu/~srikark/selected_videos/2197da9321_41.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_24.mp4,0.25,0.75,https://www.cs.umb.edu/~srikark/selected_videos/4274b5c7b4_127.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_3.mp4,0.5,1,https://www.cs.umb.edu/~srikark/selected_videos/540c0cba0a_175.mp4,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_20.mp4,0.25,1
https://www.cs.umb.edu/~srikark/selected_videos/e5124f7ead_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/837d3a2ed9_4.mp4,0.75,0.25,https://www.cs.umb.edu/~srikark/selected_videos/dfbe16e76b_56.mp4,https://www.cs.umb.edu/~srikark/selected_videos/e918b859ee_15.mp4,0,0.5,https://www.cs.umb.edu/~srikark/selected_videos/4f2dda223f_15.mp4,https://www.cs.umb.edu/~srikark/selected_videos/d858a95536_22.mp4,0.25,0.75,https://www.cs.umb.edu/~srikark/selected_videos/4b8d550db2_13.mp4,https://www.cs.umb.edu/~srikark/selected_videos/7bd0303cc6_52.mp4,0.25,0.75,https://www.cs.umb.edu/~srikark/selected_videos/dd5f8421c1_2.mp4,https://www.cs.umb.edu/~srikark/selected_videos/f2d95ed15e_27.mp4,0.75,0.25
https://www.cs.umb.edu/~srikark/selected_videos/9928319982_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_38.mp4,0.75,0,https://www.cs.umb.edu/~srikark/selected_videos/82ab936b7a_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/b0390cf0b5_6.mp4,1,0.5,https://www.cs.umb.edu/~srikark/selected_videos/c651eb1676_24.mp4,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_54.mp4,0.25,1,https://www.cs.umb.edu/~srikark/selected_videos/5e0543fc80_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_3.mp4,0.75,0.25,https://www.cs.umb.edu/~srikark/selected_videos/720fccf6b1_4.mp4,https://www.cs.umb.edu/~srikark/selected_videos/50a13bf3e8_16.mp4,0.5,1
https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_57.mp4,https://www.cs.umb.edu/~srikark/selected_videos/daca3c1672_18.mp4,0,0.5,https://www.cs.umb.edu/~srikark/selected_videos/4fdf48c5b7_30.mp4,https://www.cs.umb.edu/~srikark/selected_videos/82ab936b7a_3.mp4,0.25,,https://www.cs.umb.edu/~srikark/selected_videos/1a0f97af1e_8.mp4,https://www.cs.umb.edu/~srikark/selected_videos/81ef830580_29.mp4,0.25,0.75,https://www.cs.umb.edu/~srikark/selected_videos/b8a4c17fbe_3.mp4,https://www.cs.umb.edu/~srikark/selected_videos/720fccf6b1_72.mp4,1,0.25,https://www.cs.umb.edu/~srikark/selected_videos/d88213a113_5.mp4,https://www.cs.umb.edu/~srikark/selected_videos/0a6455dbb0_14.mp4,1,0.25